,Stakeholder,Internal Assignee,External POC,Role,Date Contacted,Our Goal  ,Stakeholder Goal,Mutual Goal,Result,Next Step,Status,External / Internal,"Daily 
Project Check-Ins","Weekly
Project Status Updates","As Needed 
Extern. Stakeholder Updates","As Needed 
Milestone Updates","As Needed
Project Team Meetings"
,Name of individual or org,Team member responsible,"Name, title, email",Relationship to program,Date of last outreach / follow-up,"What we want from them (funding, mentorship, in-kind, judges, etc.)","What they care about / what motivates them (their priorities, mission, pain points we can solve)","The overlap where our goals and their goals intersect; the ""win-win"" that makes this a partnership, not just an ask",Summary of response or outcome,Specific action needed to move forward,"1) Not started, 2) In progress, 3) Complete, 4) Blocked",Internal team or external partner,Y/N - Daily syncs,Y/N - Regular weekly progress reports,Y/N - Ad-hoc external updates,Y/N - Updates tied to key deliverables,Y/N - Ad-hoc team meetings
,Deloitte,Javon,TBA,TBA,Not Yet Contacted,"1) Secure financial contributions and sponsorship to fund program operations, student stipends, and materials.

2) Secure Deloitte representatives to serve as judges, career development coaches, mentors, and professional development coaches.

3) Coordinate field trips to Deloitte's Virginia offices (Richmond, Virginia Beach, and Northern Virginia) for student exposure, networking, and career exploration.","1) Build a direct pipeline to skilled, tech-enabled talent — specifically students trained on the tools, platforms, and problem-solving approaches Deloitte uses with its incoming analysts.

2) Access to students who already understand real-world business problems and can think through Deloitte-style casework — reducing onboarding time and increasing immediate billability.

3) Align with strategic growth areas — digital transformation, innovation, sustainability, and generative AI — by partnering with programs that develop talent in these high-priority fields.","1) We secure funding for program operations, student stipends, and materials — Deloitte builds a pipeline to skilled, tech-enabled talent trained on their tools and problem-solving approaches.

 2) We secure Deloitte representatives as judges, coaches, and mentors — Deloitte gains early access to job-ready students who reduce onboarding time and increase immediate billability.

 3) We coordinate field trips to Deloitte's Virginia offices — Deloitte deepens regional brand visibility and community engagement in key Virginia markets, aligning with strategic growth areas like digital transformation, innovation, sustainability, and generative AI.",,Contact former colleagues in VA offices + reach out to the StepUp pro bono team. (Updated Aug 4 - Javon),Not Started,External,,,,,
,Siemens,Andrew,TBA,TBA,Not Yet Contacted,,,,,Share with Internal Assignee and populate initial columns (Updated Aug 4 - Javon),Not Started,External,,,,,
,Apache,Andrew,TBA,TBA,Not Yet Contacted,,,,,Share with Internal Assignee and populate initial columns (Updated Aug 4 - Javon),Not Started,External,,,,,
,Dominion Energy,Dr. Nicholson,TBA,TBA,Not Yet Contacted,,,,,Share with Internal Assignee and populate initial columns (Updated Aug 4 - Javon),Not Started,External,,,,,
,Cameron Foundation,Dr. Nicholson,TBA,TBA,Not Yet Contacted,,,,,Share with Internal Assignee and populate initial columns (Updated Aug 4 - Javon),Not Started,External,,,,,
,Virginia Gateway Region,Dr. Nicholson,TBA,TBA,Not Yet Contacted,,,,,Share with Internal Assignee and populate initial columns (Updated Aug 4 - Javon),Not Started,External,,,,,
,Open Trellis,Dr. Nicholson,Dale Frickett,TBA,Not Yet Contacted,,,,,Share with Internal Assignee and populate initial columns (Updated Aug 4 - Javon),Not Started,External,,,,,
,College of Engineering and Technology,Dr. Nicholson,TBA,TBA,Not Yet Contacted,,,,,Share with Internal Assignee and populate initial columns (Updated Aug 4 - Javon),Not Started,External,,,,,
,Reginald F. Lewis College of Business,Dr. Nicholson,TBA,TBA,Not Yet Contacted,,,,,Share with Internal Assignee and populate initial columns (Updated Aug 4 - Javon),Not Started,External,,,,,
,Builder Tech,Javon Guerrier,Javon Guerrier,Program Director & Instructor,N/A,N/A,,,N/A,N/A,Confirmed Stakeholder,Internal,Y,Y,Y,Y,Y
,Dr. Shawn M. Nicholson,Javon Guerrier,Dr. Shawn Nicholson,Operations Director,N/A,N/A,,,N/A,N/A,Confirmed Stakeholder,Internal,Y,Y,Y,Y,Y
,Explay,Javon Guerrier,Emanuel Perez,Program Designer & Instructor ,N/A,N/A,,,N/A,N/A,Confirmed Stakeholder,Internal,Y,Y,Y,Y,Y
,Voltpop,Javon Guerrier,Andrew Foulks,Program Designer & Instructor ,N/A,N/A,,,N/A,N/A,Confirmed Stakeholder,Internal,Y,Y,Y,Y,Y
